District,Month_Number,Month_Name,Crop_Name,Reason_1,Reason_2,Reason_3,Reason_4,Reason_5
Kilinochchi,12,December,Maize,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Sufficient daily sunlight hours promote maximum photosynthesis
Kilinochchi,12,December,Tomato,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month
Kilinochchi,12,December,Sweet Potato,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield
Kilinochchi,12,December,Pumpkin,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Kilinochchi,12,December,Chili,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases
Kilinochchi,12,December,Cowpea,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Optimal soil temperature range for rapid seed germination
Kilinochchi,12,December,Red Onion,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Kilinochchi,12,December,Sesame,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,1,January,Groundnut,Sufficient daily sunlight hours promote maximum photosynthesis,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month
Mannar,1,January,Cowpea,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination
Mannar,1,January,Pumpkin,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,1,January,Red Onion,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,1,January,Green Gram,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield
Mannar,1,January,Sweet Potato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable soil aeration conditions support deep root development
Mannar,1,January,Okra,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year
Mannar,1,January,Tomato,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,2,February,Sesame,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,2,February,Red Onion,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,2,February,Pumpkin,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,2,February,Sweet Potato,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Mannar,2,February,Okra,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month
Mannar,2,February,Maize,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield
Mannar,2,February,Groundnut,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination
Mannar,2,February,Cowpea,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination
Mannar,3,March,Green Gram,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,3,March,Groundnut,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,3,March,Pumpkin,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,3,March,Tomato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month
Mannar,3,March,Okra,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,3,March,Sweet Potato,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,3,March,Cowpea,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year
Mannar,3,March,Maize,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,4,April,Pumpkin,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,4,April,Okra,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,4,April,Groundnut,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination
Mannar,4,April,Sweet Potato,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield
Mannar,4,April,Brinjal,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,4,April,Cowpea,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,4,April,Sesame,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development
Mannar,4,April,Maize,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,5,May,Tomato,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield
Mannar,5,May,Brinjal,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,5,May,Groundnut,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,5,May,Sesame,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year
Mannar,5,May,Green Gram,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,5,May,Red Onion,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,5,May,Sweet Potato,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield
Mannar,5,May,Maize,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,6,June,Groundnut,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,6,June,Brinjal,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month
Mannar,6,June,Tomato,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Mannar,6,June,Red Onion,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,6,June,Green Gram,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,6,June,Sweet Potato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year
Mannar,6,June,Sesame,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,6,June,Cowpea,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month
Mannar,7,July,Green Gram,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,7,July,Brinjal,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,7,July,Tomato,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination
Mannar,7,July,Sweet Potato,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,7,July,Pumpkin,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,7,July,Cowpea,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,7,July,Maize,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,7,July,Red Onion,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,8,August,Chili,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,8,August,Brinjal,Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year
Mannar,8,August,Tomato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Mannar,8,August,Green Gram,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month
Mannar,8,August,Sweet Potato,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,8,August,Red Onion,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,8,August,Cowpea,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination
Mannar,8,August,Groundnut,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month
Mannar,9,September,Groundnut,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,9,September,Red Onion,Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination
Mannar,9,September,Pumpkin,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,9,September,Sweet Potato,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development
Mannar,9,September,Cowpea,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Historical data shows reduced pest prevalence during this time of year
Mannar,9,September,Okra,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,9,September,Tomato,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,9,September,Chili,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year
Mannar,10,October,Okra,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,10,October,Sesame,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,10,October,Green Gram,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,10,October,Groundnut,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development
Mannar,10,October,Red Onion,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,10,October,Chili,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,10,October,Cowpea,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,10,October,Maize,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield
Mannar,11,November,Maize,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit"
Mannar,11,November,Groundnut,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Timing aligns with traditional Maha/Yala seasonal planting schedules,Historical data shows reduced pest prevalence during this time of year
Mannar,11,November,Red Onion,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month
Mannar,11,November,Okra,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,11,November,Green Gram,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Mannar,11,November,Brinjal,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year
Mannar,11,November,Sweet Potato,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year
Mannar,11,November,Sesame,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,12,December,Tomato,Timing aligns with traditional Maha/Yala seasonal planting schedules,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,12,December,Maize,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases
Mannar,12,December,Green Gram,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,12,December,Pumpkin,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield
Mannar,12,December,Red Onion,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,12,December,Brinjal,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Mannar,12,December,Cowpea,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis
Mannar,12,December,Okra,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis
Vavuniya,1,January,Sweet Potato,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield
Vavuniya,1,January,Brinjal,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield
